地名,date,temperature(℃),rainfall(mm),daylight hours(h),wind speed(m/s),vapor pressure(hPa)
京都,2013-01-15 00:00:00,4.0200000000000005,15.6,26.32,2.04,5.5
兵庫,2013-01-15 00:00:00,5.32,12.9,36.12,3.62,5.459999999999999
和歌山,2013-01-15 00:00:00,5.38,16.5,34.58,4.159999999999999,5.6
大阪,2013-01-15 00:00:00,5.220000000000001,15.2,37.0,2.54,5.34
奈良,2013-01-15 00:00:00,3.46,15.9,28.679999999999996,1.6600000000000001,5.5200000000000005
滋賀,2013-01-15 00:00:00,3.44,32.0,23.68,4.0,5.88
京都,2013-02-15 12:00:00,4.35,23.375,26.1,2.05,5.625
兵庫,2013-02-15 12:00:00,5.85,18.75,32.55,3.625,5.7
和歌山,2013-02-15 12:00:00,6.1,23.625,35.725,3.925,6.075
大阪,2013-02-15 12:00:00,5.525,22.375,34.8,2.325,5.525
奈良,2013-02-15 12:00:00,3.7,22.875,27.55,1.55,5.875
滋賀,2013-02-15 12:00:00,3.3000000000000003,30.375,23.8,3.65,5.925
京都,2013-03-15 12:00:00,9.175,16.25,41.475,2.2750000000000004,6.775
兵庫,2013-03-15 12:00:00,10.375,11.75,45.3,3.425,7.375
和歌山,2013-03-15 12:00:00,10.775,26.25,49.825,4.25,7.95
大阪,2013-03-15 12:00:00,10.3,23.5,47.075,2.35,7.025
奈良,2013-03-15 12:00:00,8.625,29.5,45.375,1.725,7.2
滋賀,2013-03-15 12:00:00,7.575,15.0,48.0,3.525,7.1000000000000005
京都,2013-04-16 00:00:00,13.14,22.5,40.82000000000001,2.38,8.72
兵庫,2013-04-16 00:00:00,13.84,18.0,45.660000000000004,3.8600000000000003,9.4
和歌山,2013-04-16 00:00:00,14.059999999999999,13.4,45.54,4.12,9.68
大阪,2013-04-16 00:00:00,13.98,21.8,47.06,2.7,8.879999999999999
奈良,2013-04-16 00:00:00,12.4,22.5,43.1,1.6800000000000002,9.28
滋賀,2013-04-16 00:00:00,11.36,21.4,43.08,3.1399999999999997,9.14
京都,2013-05-17 12:00:00,19.0,7.0,57.725,2.4,11.7
兵庫,2013-05-17 12:00:00,19.15,16.0,61.5,3.35,13.325
和歌山,2013-05-17 12:00:00,19.275,5.0,62.875,3.825,13.45
大阪,2013-05-17 12:00:00,19.525,10.375,63.575,2.375,12.45
奈良,2013-05-17 12:00:00,17.9,10.0,58.675,1.35,12.65
滋賀,2013-05-17 12:00:00,16.875,9.75,63.425,2.775,12.9
京都,2013-06-14 12:00:00,23.875,33.625,30.625,2.175,18.45
兵庫,2013-06-14 12:00:00,23.825,48.625,36.225,3.45,20.175
和歌山,2013-06-14 12:00:00,23.549999999999997,38.75,34.225,3.3,21.15
大阪,2013-06-14 12:00:00,24.2,54.25,35.175,2.4499999999999997,19.35
奈良,2013-06-14 12:00:00,23.0,43.0,31.299999999999997,1.325,19.625
滋賀,2013-06-14 12:00:00,22.35,27.875,37.225,2.1,19.975
京都,2013-07-16 00:00:00,27.46,37.6,34.72,2.2,24.259999999999998
兵庫,2013-07-16 00:00:00,27.160000000000004,17.1,45.7,3.6,26.2
和歌山,2013-07-16 00:00:00,27.439999999999998,22.7,46.480000000000004,3.7,26.839999999999996
大阪,2013-07-16 00:00:00,27.78,19.2,48.160000000000004,2.7800000000000002,25.020000000000003
奈良,2013-07-16 00:00:00,26.48,32.0,40.94,1.3800000000000001,25.1
滋賀,2013-07-16 00:00:00,26.54,44.4,43.22,2.44,25.439999999999998
京都,2013-08-16 12:00:00,29.425,24.625,49.224999999999994,1.95,25.425
兵庫,2013-08-16 12:00:00,29.675,29.5,59.075,3.1,28.05
和歌山,2013-08-16 12:00:00,29.5,11.625,62.949999999999996,3.1999999999999997,28.375
大阪,2013-08-16 12:00:00,30.175,32.25,59.075,2.4250000000000003,26.375
奈良,2013-08-16 12:00:00,27.925,49.0,50.35,1.15,27.4
滋賀,2013-08-16 12:00:00,28.425,20.625,58.824999999999996,2.475,27.65
京都,2013-09-13 12:00:00,25.125,90.625,40.6,2.0,21.675
兵庫,2013-09-13 12:00:00,25.925,69.5,44.875,3.725,23.025
和歌山,2013-09-13 12:00:00,25.6,88.5,47.65,3.675,23.5
大阪,2013-09-13 12:00:00,25.875,65.75,46.275000000000006,2.4,22.125
奈良,2013-09-13 12:00:00,24.1,62.5,44.675,1.3,22.975
滋賀,2013-09-13 12:00:00,24.425,62.625,44.225,2.55,22.85
京都,2013-10-15 00:00:00,20.72,43.5,32.12,2.2399999999999998,16.18
兵庫,2013-10-15 00:00:00,21.82,37.5,39.92,4.82,16.619999999999997
和歌山,2013-10-15 00:00:00,21.22,51.1,40.7,3.7599999999999993,17.2
大阪,2013-10-15 00:00:00,21.46,42.1,38.3,2.6,16.22
奈良,2013-10-15 00:00:00,19.52,40.9,33.160000000000004,1.38,17.380000000000003
滋賀,2013-10-15 00:00:00,19.96,35.1,34.260000000000005,3.1399999999999997,16.96
京都,2013-11-15 12:00:00,12.45,12.125,35.95,1.675,9.775
兵庫,2013-11-15 12:00:00,14.100000000000001,15.5,38.475,3.6,10.05
和歌山,2013-11-15 12:00:00,14.075,12.375,37.4,3.95,10.65
大阪,2013-11-15 12:00:00,13.75,19.5,38.75,2.125,10.175
奈良,2013-11-15 12:00:00,11.325,17.625,31.75,1.15,10.8
