date,temperature(℃),rainfall(mm),daylight hours(h),wind speed(m/s),vapor pressure(hPa),地名
2013/1/1,5.6,37.5,38.9,2.5,6.1,大阪
2013/1/8,4.7,0,41.9,2.2,4.9,大阪
2013/1/15,5.4,24,27.7,2.3,5.5,大阪
2013/1/22,5.4,14.5,29.3,2.5,5.5,大阪
2013/1/29,5,0,47.2,3.2,4.7,大阪
2013/2/5,8.5,13.5,33.2,1.9,7,大阪
2013/2/12,4.5,19.5,36.9,2.6,5,大阪
2013/2/19,4.6,52.5,25.1,2.1,5.5,大阪
2013/2/26,4.5,4,44,2.7,4.6,大阪
2013/3/5,7.5,24,43.3,2.2,6.1,大阪
2013/3/12,11.6,4,59.9,2.3,7,大阪
2013/3/19,11.8,53.5,48.2,2.5,8.4,大阪
2013/3/26,10.3,12.5,36.9,2.4,6.6,大阪
2013/4/2,12.6,3.5,22.3,2,8.7,大阪
2013/4/9,14.4,53.5,42.5,3.2,9.4,大阪
2013/4/16,13.4,0,66,3.4,7.5,大阪
2013/4/23,13.5,18.5,51.6,2.4,8.6,大阪
2013/4/30,16,33.5,52.9,2.5,10.2,大阪
2013/5/7,14.9,0,69.8,2.5,8.6,大阪
2013/5/14,19.2,29,61.9,1.9,12.6,大阪
2013/5/21,20.9,10.5,61.1,2.6,14.8,大阪
2013/5/28,23.1,2,61.5,2.5,13.8,大阪
2013/6/4,22.8,2.5,34.2,2.3,16.7,大阪
2013/6/11,23.9,0,42.4,2.8,16.4,大阪
2013/6/18,27.2,43.5,55.6,2.8,22.5,大阪
2013/6/25,22.9,171,8.5,1.9,21.8,大阪
2013/7/2,24.2,52,36.9,2.5,20.8,大阪
2013/7/9,28.1,25,47.9,3.1,27,大阪
2013/7/16,28.6,4.5,50.4,2.8,26.6,大阪
2013/7/23,28.8,0,63.6,2.7,23.6,大阪
2013/7/30,29.2,14.5,42,2.8,27.1,大阪
2013/8/6,29.4,20,49.9,2.2,26.8,大阪
2013/8/13,31.8,0,71.2,2.2,26.8,大阪
2013/8/20,31.2,0,77.6,2.6,25.6,大阪
2013/8/27,28.3,109,37.6,2.7,26.3,大阪
2013/9/3,27,55,27.1,2.5,26.1,大阪
2013/9/10,24.5,27.5,32.6,1.9,21.8,大阪
2013/9/17,26.2,180.5,50.2,2.8,22.9,大阪
2013/9/24,25.8,0,75.2,2.4,17.7,大阪
2013/10/1,24,0,65.9,2.3,15.5,大阪
2013/10/8,24.5,0,35.3,2.8,18.8,大阪
2013/10/15,23.5,59.5,51,2.9,18.1,大阪
2013/10/22,17.7,61.5,18.2,2.4,14.5,大阪
2013/10/29,17.6,89.5,21.1,2.6,14.2,大阪
2013/11/5,16.5,17.5,37.3,1.5,12.7,大阪
2013/11/12,14.9,13.5,28,2,11.4,大阪
2013/11/19,11.7,19.5,40.6,2.2,8.9,大阪
2013/11/26,11.9,27.5,49.1,2.8,7.7,大阪
2013/12/3,9.3,3,52.7,2.7,7,大阪
2013/12/10,10.1,18,40,2.1,7.7,大阪
2013/12/17,7.1,2.5,25.2,3.4,5.3,大阪
2013/12/24,6.9,15,21.6,3,6.5,大阪
2013/12/31,6.2,13.5,38.6,2.5,5.8,大阪
2014/1/1,6.5,13.5,33.3,2.8,6,大阪
2014/1/8,6,31,33.9,1.8,6,大阪
2014/1/15,4.6,1.5,47.4,2.3,5,大阪
2014/1/22,4.8,1,31.4,2.4,5.2,大阪
2014/1/29,6.8,8,46.5,1.9,6.1,大阪
2014/2/5,8.4,13.5,32.9,2.1,8,大阪
2014/2/12,3.3,16,19.4,2.5,4.9,大阪
2014/2/19,4.4,26,22.6,2.7,5.1,大阪
2014/2/26,6,0,53.8,1.7,5.1,大阪
2014/3/5,9.3,26,22.8,2.3,8.4,大阪
2014/3/12,5.9,0.5,59,2.9,4.8,大阪
2014/3/19,10.3,42,45.2,2.4,7.9,大阪
2014/3/26,11.2,52.5,39.2,2.5,8.4,大阪
2014/4/2,14.6,42,49.9,2.5,9.9,大阪
2014/4/9,12.1,16.5,52.3,2.7,8.1,大阪
2014/4/16,14.1,0,57.4,2.2,6.6,大阪
2014/4/23,15.4,9,33.4,2.3,10.3,大阪
2014/4/30,17.6,47,53.2,2.5,12.1,大阪
2014/5/7,17.9,4,67.5,2.2,11.2,大阪
2014/5/14,19.3,19,60.6,2.6,12.8,大阪
2014/5/21,19.7,41,54.4,2.9,13.4,大阪
2014/5/28,20.6,17,48.9,2.3,15.5,大阪
2014/6/4,24.5,6.5,57.6,2.7,18.4,大阪
2014/6/11,23.4,29.5,33.5,3,21.1,大阪
2014/6/18,23,6.5,37.6,2.6,18.5,大阪
2014/6/25,24.2,10.5,51.1,2.2,19.8,大阪
2014/7/2,25.3,21.5,38.5,2.4,21.6,大阪
2014/7/9,25.3,45.5,13.5,2.4,25.4,大阪
2014/7/16,27.7,27.5,42.8,2.7,26.4,大阪
2014/7/23,28.5,6,54.7,2.6,26.2,大阪
2014/7/30,29.7,0,70.8,2.6,26.4,大阪
2014/8/6,28.7,29.5,29.6,2.5,28.6,大阪
2014/8/13,27,233.5,30.5,3.2,27.1,大阪
2014/8/20,29.5,24.5,52.8,2.9,29.7,大阪
2014/8/27,28,23,31,2.5,27,大阪
2014/9/3,25,33.5,26.3,2.1,22.7,大阪
2014/9/10,25.8,30,44.3,2.1,23.4,大阪
2014/9/17,23.6,3,56.1,1.9,17.6,大阪
2014/9/24,22.2,12.5,34.2,1.7,15.6,大阪
2014/10/1,23.7,46,50.8,2.1,18,大阪
2014/10/8,21.7,16.5,27.1,2.7,17.2,大阪
2014/10/15,20.3,72.5,27.3,3.3,16.2,大阪
2014/10/22,18.5,5,43.2,1.9,14.1,大阪
2014/10/29,17.1,28,58.1,1.8,12.2,大阪
2014/11/5,17,14.5,26.3,2.2,13.4,大阪
2014/11/12,15.8,13,31.7,1.9,12,大阪
2014/11/19,11.5,0,45.2,2.6,7.4,大阪
2014/11/26,13.2,32,40.7,1.5,10,大阪
2014/12/3,12.7,24,36.7,2.9,9.7,大阪
2014/12/10,7.1,15.5,40.8,2.6,6.2,大阪
2014/12/17,6.2,20,22.9,3.9,5.8,大阪
2014/12/24,5.7,21,38.4,3,5.8,大阪
2014/12/31,6.8,14,32.3,2.4,6.5,大阪
2015/1/1,6.2,14,35.3,2.8,6.2,大阪
2015/1/8,5.8,11.5,32.6,2.7,6,大阪
2015/1/15,6.1,28,21.4,2.7,5.9,大阪
2015/1/22,6.8,15.5,27.6,2.6,6.5,大阪
2015/1/29,6.6,28.5,30.7,2.2,6.6,大阪
2015/2/5,5.2,9.5,24.3,2.7,5.6,大阪
2015/2/12,5.9,2,45.7,3.4,5.3,大阪
2015/2/19,6.4,3.5,35.8,2.5,5.7,大阪
2015/2/26,9.3,20,24,2,8,大阪
2015/3/5,7.5,40,30.8,2.8,6.5,大阪
2015/3/12,7.4,38.5,28.5,3.2,6.4,大阪
2015/3/19,11.7,91,27.1,2,10.3,大阪
2015/3/26,10.5,0,57.5,2.5,6.5,大阪
2015/4/2,14.4,8,52.6,2.1,10.4,大阪
2015/4/9,13.8,32,10.6,3.1,12.4,大阪
2015/4/16,13.8,42,22.4,3.1,11.1,大阪
2015/4/23,16.5,30,45.7,2.3,11.2,大阪
2015/4/30,19.6,0,64.6,2.3,12.2,大阪
2015/5/7,20.6,6,53.4,2.2,14.9,大阪
2015/5/14,19.7,34,52.8,2.3,13.4,大阪
2015/5/21,21,64,56.5,2.2,15.8,大阪
2015/5/28,23.5,0,61.5,2.1,14.6,大阪
2015/6/4,23.7,45,54.3,2.9,17.4,大阪
2015/6/11,20.5,64,23,2.4,17.6,大阪
2015/6/18,24,13.5,32.7,2.3,20.9,大阪
2015/6/25,24.1,23,36.2,2.3,21,大阪
2015/7/2,23.2,94.5,29.8,2.6,20.8,大阪
2015/7/9,23.8,34.5,6.2,1.8,23.9,大阪
2015/7/16,28.5,13.5,55.4,3.3,27.2,大阪
2015/7/23,26.6,264,30.4,2.4,26.8,大阪
2015/7/30,29.1,2,57.9,2.5,28.5,大阪
2015/8/6,31.3,3.5,70.6,2.1,29.1,大阪
2015/8/13,30,64,55.5,2.1,27.3,大阪
2015/8/20,27.4,63.5,29.6,2,26.1,大阪
2015/8/27,27.5,36,46.7,2.7,24.6,大阪
2015/9/3,25.8,61,18.9,1.9,25.7,大阪
2015/9/10,23.5,83.5,19.6,2.3,23,大阪
2015/9/17,22.8,13.5,46.2,2.9,18.5,大阪
2015/9/24,23,8,48.6,2.7,18.2,大阪
2015/10/1,22.4,18,36.9,2.7,17.8,大阪
2015/10/8,19.9,26.5,53.2,2.6,13.6,大阪
2015/10/15,19,5,36.7,2,13.1,大阪
2015/10/22,20,0,63.6,2.2,14.2,大阪
2015/10/29,17.9,6.5,63.3,2.2,11.7,大阪
2015/11/5,15.4,10,47,2.1,11,大阪
2015/11/12,17.5,30,25,2.3,14.3,大阪
2015/11/19,16.7,51,12,2.4,15.2,大阪
2015/11/26,14.1,20.5,19.8,2.2,11.4,大阪
2015/12/3,10.9,17.5,45.1,2.3,8,大阪
2015/12/10,10.7,6.5,40.7,2.5,7.7,大阪
2015/12/17,12.4,49,25.7,2.3,9.9,大阪
2015/12/24,9.1,15.5,23,1.9,8.2,大阪
2015/12/31,7.7,1.5,40.8,1.9,6.6,大阪
2016/1/1,7.3,0,47.8,1.9,6.2,大阪
2016/1/8,9.6,0,31.3,1.6,7.8,大阪
2016/1/15,6.9,1.5,47.1,2.1,5.5,大阪
2016/1/22,5.3,7.5,28.6,3,5.6,大阪
2016/1/29,5,50.5,34.7,2.6,5.5,大阪
2016/2/5,6.7,7.5,39.6,2,6,大阪
2016/2/12,6.9,0,51.6,2.4,5.4,大阪
2016/2/19,8.9,56.5,40.4,2.8,7.8,大阪
